id,question,correct_answer,option1,option2,option3,option4,category,points
448,"After delivering the sermon and praying, the the Prophet came to the spot in Arafat which is known as  the ''Standing Place.'' What did Prophet say about it?.",The Prophet said that the prayer of this day was the best of all.( For this reason the Prophet said ''Arafat is Hajj.''),The Prophet only said Alhamdulillah.( For this reason the Prophet said ''Arafat is Hajj.''),The Prophet said that the prayer of this day was like that of other days.,The Prophet said that the prayer of this day was the best of all.( For this reason the Prophet said ''Arafat is Hajj.''),The Prophet said that the prayer of this day was the last for all of us.,Hajj,10
449,"What do the pilgrims do on the fifth day of Hajj or the 12th Dhul Hijjah? 1. Stay in Mina and throw pebbles at the stoning pillars(jamarat). 2. Return the same day to Makkah and perform tawaf, 3. then drink the water of Zamzam (this ends the Hajj).",All of the above.,1 only.,All of the above.,3 only.,2 and 3 only.,Hajj,10
450,What are Al-Harmayn ash-sharifayn?,The Sacred Mosque at Makkah and the Prophet Mosque at Madinah.,The Sacred Mosque at Makkah and the Prophet Mosque at Madinah.,The Sacred Mosque at Kufah and the Prophet Mosque at Damascus.,The Sacred Mosque at Baghdad and the Prophet Mosque at New York.,The Sacred Mosque at Jeddah and the Prophet Mosque at Kuwait.,Hajj,10
451,"When the Prophet stood up at Arafat to pray, the people around him were also praying, some standing ,some mounted on their animals-weeping  and crying to their Lord for His favours. What did the Prophet pray about at that time?","He prayed, '' O Allah, you are listening to me. You are watching my place. You are aware of my hidden and open affairs. I am miserable and needy . I am pleading with You. Asking Your protection…''",He stood for a while not knowing what to say than to cry Oh Allah forgive me my sins.,He addressed his companion and admonished them about the dangers of Dajjal.,He welcomed new entrant into the fold of Islam and prayed for them.,"He prayed, '' O Allah, you are listening to me. You are watching my place. You are aware of my hidden and open affairs. I am miserable and needy . I am pleading with You. Asking Your protection…''",Hajj,10
452,Which day of Hajj are known as Ayyam at-Tashriq( lit. days of drying meat),"The 5th, 6th, and 7th days(the 11th, 12th, and 13th Dhul Hijjah, during which pilgrims stay at Mina and perform the rites of stoning).","The 9th, 10th, and 11th days(the 15th, 16th, and 19th Dhul Hijjah, during which pilgrims stay at Mina and perform the rites of stoning).","The 8th, 9th, and 10th days(the 14th, 15th, and 16th Dhul Hijjah, during which pilgrims stay at Mina and perform the rites of stoning).","The 5th, 6th, and 7th days(the 11th, 12th, and 13th Dhul Hijjah, during which pilgrims stay at Mina and perform the rites of stoning).",None of the above,Hajj,10
453,What is the Well of Uthman?,"A well traditionally associated with Uthman ibn Affan, one of the Prophet's closest companions.  ","A well traditionally associated with Uthman ibn Harith, one of the Prophet's closest companions.  ","A well traditionally associated with Uthman ibn Affan, one of the Prophet's closest companions.  ","A well traditionally associated with Uthman ibn Abi Quhayfah, one of the Prophet's closest companions.  ",None of the above,Hajj,10
454,How many days did the Prophet stay in Makkah during his last Hajj?,10 days.,10 days.,15 days,22 days,5 days.,Hajj,10
455,What is the meaning of kaffarah?,To offer a sacrifice for failing to perform certain rites during Hajj.  it is also called dum.,To offer a sacrifice for journey mercy after completion of Hajj rites.,To offer a sacrifice for people of makkah and Madinah to ward off evil eye.,It is another name for seeking for forgiveness.,To offer a sacrifice for failing to perform certain rites during Hajj.  it is also called dum.,Hajj,10
456,What is Al-Jumua Mosque?,"The mosque in Madinah, where the Prophet Muhammad offered  his Friday Prayer.","The mosque in Taif, where the Prophet Muhammad offered  his Friday Prayer.","The mosque in Makkah, where the Prophet Muhammad offered  his Friday Prayer.","The mosque in Madinah, where the Prophet Muhammad offered  his Friday Prayer.","The mosque in Muzdalifah, where the Prophet Muhammad offered  his Friday Prayer.",Hajj,10
457,After how many months did the Prophet die after performng his Hajj?,Two months.,One months.,Two months.,Three months.,Four Month,Hajj,10
458,Name the month of the Islamic calendar in which Hajj is performed.,Dhul Hijjah.( The twelfth month of the Islamic calendar.),Dhul Hijjah.( The twelfth month of the Islamic calendar.),Dhul Khadah.( The eleventh month of the Islamic calendar.),Muharram ( The first month of the Islamic calendar.),Sofar ( The second month of the Islamic calendar.),Hajj,10
459,What is Kiswat?,The covering of the Kabah.,The covering of the Al Aqsa.,The top of the Kabah.,The covering of the Prophet grave.,The covering of the Kabah.,Hajj,10
460,These days how many people perform Hajj every year?,More than two million people.,Less than one hundred thousand people.,More than two hundred million people.,More than two million people.,Less than fifty thousand people.,Hajj,10
461,"What is the meaning of the word, ""ihram""?",Allowed,Prohibited,Allowed,Permitted,Encouraged,Hajj,10
462,What is al-Masjid an-Nabawi?,The Mosque of the Prophet which is one of the three most sacred Mosques.,The Mosque of the Prophet which is one of the three most sacred Mosques.,Jumu'ah mosque located in Yemen.,Pilgrim mosques built by the Tartar.,None of the above,Hajj,10
463,What did the Prophet Muhammad called the Hajj?,The supreme act of worship,A must attend tourism for anyone.,A journey to acquired spiritual power.,An acts of worship meant for the Prophet alone.,The supreme act of worship,Hajj,10
464,Who is known as a mualim or mutawwif?,A guide who assists pilgrims in performing the Hajj rites.,Someone who teaches in Makkah or Madinah.,Someone who calls pilgrims to prayer.,A guide who assists pilgrims in performing the Hajj rites.,An assistant appointed by authority to assist pilgrims,Hajj,10
465,What is Mizab ar-Rahmah?,The Spout of Mercy. A golden water-spout jutting out from the north west of the Kabah through which rainwater falls.,The scale of AbdulRahman that is used to measure grain.,The Spout of Mercy. A golden water-spout jutting out from the north west of the Kabah through which rainwater falls.,The scale of task designed by AbdulRahman.,None of the above,Hajj,10
466,What is the area of the Sacred Mosque at Makkah?,356 000 square meters or 88 acres.,356 000 square meters or 88 acres.,400 000 square meters or 95 acres.,395 000 square meters or 92 acres.,300 000 square meters or 80 acres.,Hajj,10
467,"What do you understand by the term ""ramal""?",Proceeding round the Kabah at joggling pace in the first three rounds of tawaf.,Women jogging round the Kabah during first rounds of tawaf.,The acts of shaving off hair by pilgrims.,A type of camel that Prophet used to ride during Eid. ,Proceeding round the Kabah at joggling pace in the first three rounds of tawaf.,Hajj,10
468,What is Jabal  an-Nur?,"mountain of light, The mountain in Makkah on top of which Cave of Thawr is situated",The mountain in Makkah on top of which Cave of Hira is located,"The mountain of mercy. The mountain of Badr on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.","mountain of light, The mountain in Makkah on top of which Cave of Thawr is situated",The mountain of light where the Prophet used to go to receive revelation from Allah.,Hajj,10
469,Name the two orphans from whom the Prophet bought for 10 dinars the land for the mosque to be built at Madinah.,Sahl and Suhaly,Hassan and Hussain,Sahl and Suhaly,Ammar and Abaad,Yazid and Urwah,Hajj,10
470,"what do you understand by the term ""ramy""?",One of the Hajj rites of casting small pebbles at the stone pillars called the jamarat in Mina.,One of the Hajj rites of casting small pebbles at the stone pillars called the jamarat in Mina.,A ram used for sacrifice during Hajj.,A title given to those who have performed Hajj.,One of the Hajj rites of casting small pebbles at the satan in human form.,Hajj,10
471,What is the Mosque of the Jinn?,The mosque in Makkah where a group of jinn came to the Prophet Muhammad (S.A.W) and listen to him recite portion of Quran.,The mosque in Madinah where a group of jinn came to the Prophet Muhammad (S.A.W) and listen to him recite some portions of his tradition called hadith.,The mosque in Makkah constructed by some group of Muslims among the jinn.,The mosque dedicated to the Jinn around the world where human being are not permitted to pray.,The mosque in Makkah where a group of jinn came to the Prophet Muhammad (S.A.W) and listen to him recite portion of Quran.,Hajj,10
472,"When the Prophet's Mosque at Madinah was first buit , the Prophet himself took part in the construction. What was the material used at that time to build the mosque?",The trunks of palm tree,Cement and clay,Cement and sand,The trunks of palm tree,log of woods and ropes.,Hajj,10
473,"What do you understand by term""tawaf""?",A rite of Hajj which is performed by going round the Kabah on the left hand side.,A rite of Hajj which is performed by going round the Prophet mosque on the left hand side.,A rite of Hajj which is performed by going round the Kabah on the left hand side.,A rite of Hajj which is performed by going round the Kabah on the right hand side.,None of the above,Hajj,10
474,What is al-Mu'lla?,The cementry of Makkah situate near the mosque of the Jinn.,The cementry of Makkah situate near the mosque of the Jinn.,The leader of Islamic organisation in Pakistan.,The cemetry of khalifah after the Prophet.,Some appointed leaders in the mosque.,Hajj,10
475,Had the Prophet Muhammad his own house within the Prophet's Mosque or outside it?,Within the mosque.,Within the mosque.,Outside the mosque,None of the above,All of the above,Hajj,10
476,What is an umrah?,"The lesser pilgrimage, which consists of the tawaf of the Kabah and the sa'y of Safa Marwah. It can be performed at any time during the year.",A blessed Muslim woman.,A drum beating befor going to war during jahiliyah period.,"The lesser pilgrimage, which consists of the tawaf of the Kabah and the sa'y of Safa Marwah. It can be performed at any time during the year.",It is ritual acts performed once yearly in Makkah.,Hajj,10
477,What is the Qiblatayn Mosque?,The Mosque of Two Qiblas.,The Mosque of Tiny Qiblas.,The Mosque of Two Qiblas.,The mosque with one qiblah,None of the above,Hajj,10
478,What message one gets from the sacrifice of an animal at Mina (or the Festival of Id al-Adha)?,It recalls the Prophet Ibrahim's readiness to obey Allah's command to sacrifice his beloved son. ,It recalls the Prophet Ibrahim's readiness to obey Allah's command to sacrifice his beloved son. ,It recalls the Prophet Ismail's readiness to obey Allah's command to sacrifice his beloved son. ,It recalls the Prophet Muhammad's readiness to obey Allah's command to sacrifice his beloved son. ,It recalls the Prophet Musa's readiness to obey Allah's command to sacrifice his beloved son. ,Hajj,10
479,The Prophet  Ibrahim took his son away to sacrifice him. Which place had they reached when Satan appeared and to dissuade him?,Mina-a valley near  Makkah.,A small town in Madinah.,A Valley in Taif,A desert in Eygpt.,Mina-a valley near  Makkah.,Hajj,10
480,What is Quba Mosque?,"The first Mosque in Islam built by the Prophet Muhammad in Madinah, after his emigration from Makkah.","The first Mosque in Islam built by the Prophet Muhammad in Makkah, on his return to Makkah.","A very big Mosque in Aleppo, Syria.","The first Mosque in Islam built by the Prophet Muhammad in Madinah, after his emigration from Makkah.",The first mosque in Iraq.,Hajj,10
481,What is Al-bayt al-Muharram?,The Sacred House. One of the names of the Kabah in the Quran.,A house built in the month of Muharram.,The Sacred House. One of the names of the Kabah in the Quran.,A sacred house built in Heaven,A house built for those that fast during the month of Muharram.,Hajj,10
482,What is the significance of Madinah?,"Formely known as Yathrib, this city was re-named Madinat an-Nabi(the City of the Prophet) or al-Madinah al-Munawwarah(The Radiant City) or simply Madinah, after the migration of the Prophet Muhammad here.","Formely known as Yathrib, this city was re-named Madinat an-Nabi(the City of the Prophet) or al-Madinah al-Munawwarah(The Radiant City) or simply Madinah, after the migration of the Prophet Muhammad here.",It is the birthplace of the Prophet and other Prophet before him,Madinah is the only place where Prophet can receive revelation.,Madinah is the holiest place on earth and it is at the center of the world.,Hajj,10
483,What is Rukn Aswad?,The Black Stone corner. The eastern corner of the Kabah on which the  Black Stone is fixed.,The grey stone around Kabah.,The Black tomb of the pious,The Black pillar,The Black Stone corner. The eastern corner of the Kabah on which the  Black Stone is fixed.,Hajj,10
484,What is the Kabah?,"The Kabah, whose name is derived from the Arabic word which means a cube, is the shrine originally built by Prophet Ibrahim(A.S) in Makkah, towards which muslims face while praying.","The Kabah, whose name is derived from the Arabic word which means a cube, is the shrine originally built by Prophet Ismail (A.S) in Makkah, towards which muslims face while praying.","The Kabah, whose name is derived from the Arabic word which means a cube, is the shrine originally built by Prophet Ibrahim(A.S) in Makkah, towards which muslims face while praying.","The Kabah, whose name is derived from the Arabic word which means a cube, is the shrine originally built by Prophet Ibrahim(A.S) in Madinah, towards which muslims face while praying.",None of the above,Hajj,10
485,What is Rukn Iraqi?,The Iraqi Corner.  The northern corner of Kabah which faces towards Iraq.,The Iraqi Corner.  The northern corner of Kabah which faces towards Iraq.,The Iraqi Corner.  The southern corner of Kabah which faces towards Iraq.,An Iraqi camel called pillar of Iraq.,It is a name given to an Iraqi poet.,Hajj,10
486,What is the significance of the Cave of Thawr?,"The cave where the Prophet and his closest companion , Abu Bakr, took shelter for three night from the enemy on their hijrah(migration) to Madinah. ",The cave where the Prophet and his relax after daily prayers. ,"The cave where the Prophet and his closest companion , Abu Quhayfah, took shelter for forty nights from the enemy on their hijrah(migration) to Madinah. ","The cave where the Prophet and his closest wife , Aisha, took shelter for one night from the enemy on their hijrah(migration) to Madinah. ","The cave where the Prophet and his closest companion , Abu Bakr, took shelter for three night from the enemy on their hijrah(migration) to Madinah. ",Hajj,10
487,What is Marqam Ibrahim?,The Standing Place of Prophet Ibrahim(A.S).,The Standing Place of Prophet Ismail(A.S).,The Standing Place of Prophet Is'haq(A.S).,The Standing Place of Prophet Ibrahim(A.S).,The Standing Place of Prophet Musa(A.S),Hajj,10
488,What is Rukn Shami?,The Syrian corner. The western corner of the Kabah which faces towards Syria.,The Syrian corner. The Northern corner of the Kabah which faces towards Syria.,The Syrian corner. The western corner of the Kabah which faces towards Syria.,The Syrian corner. The southern corner of the Kabah which faces towards Syria.,The Syrian corner. The eastern corner of the Kabah which faces towards Syria.,Hajj,10
489,What is Hijaz?,"The region along the western seaboard of Arabia, in which Makkah, Madinah, Jeddah and Ta'if are situated. ","The region along the western seaboard of Arabia, in which Makkah, Madinah, Jeddah and Ta'if are situated. ","The region along the western seaboard of Arabia, in which Makkah, Madinah, Jordan and Ta'if are situated. ","The region along the western seaboard of Arabia, in which Makkah, Madinah, Jeddah and Cairo are situated. ","The region along the western seaboard of Arabia, in which Makkah, Madinah, Palestine and Lebanon are situated. ",Hajj,10
490,What is Al-Mashar al-Haram?,The sacred Monument. A place in Muzdalifah where the Prophet stopped during his Hajj.,The sacred Monument. A place in Mina where the Prophet stopped during his Hajj.,The sacred Monument. A place in Morocco where the Prophet stopped during his Hajj.,The sacred well. A place in Muzdalifah where the Prophet stopped during his Hajj.,The sacred Monument. A place in Muzdalifah where the Prophet stopped during his Hajj.,Hajj,10
491,What is Rukn Yamani?,The Yemen corner. The Southern corner of the Kabah which faces towards Yemen.,The Yemen corner. The Western corner of the Kabah which faces towards Yemen.,The Yemen corner. The Northern corner of the Kabah which faces towards Yemen.,The Yemen corner. The Southern corner of the Kabah which faces towards Yemen.,The Yemen corner. The Eastern corner of the Kabah which faces towards Yemen.,Hajj,10
492,What is Al-Hudaybiyyah?,A place nine miles from Makkah on the road  from Makkah to Jedda. ,"A place ten miles from Makkah on the road  from Makkah to Jedda. Prophet Muhammad(S.A.W) signed the famous peace teaty which was referred to in the Quran, Surah al-fath, 48:1 as""an obvious victory.""",A place nine miles from Makkah on the road  from Makkah to Jedda. ,A place five miles from Makkah on the road  from Makkah to Madinah.,A place nine miles from Makkah on the road  from Makkah to Jordan. ,Hajj,10
493,What is the significance of Makkah?,"Makkah al-Mukarramah  or Makkah the blessed, is the city whose first inhabitants were the Family of the Prophet Ibrahim(A.S), who built the Kabah. The Prophet Muhammad was born here and today it is the centre of Hajj and the focal point for Muslims all around the world, who turn towards it five times a day in prayer.","Makkah al-Mukarramah  or Makkah the blessed, is the city whose first inhabitants were the Family of the Prophet Ibrahim(A.S), who built the Kabah. The Prophet Muhammad was born here and today it is the centre of Hajj and the focal point for Muslims all around the world, who turn towards it five times a day in prayer.","Makkah al-Mukarramah  or Makkah the blessed, is the city whose first inhabitants were the Family of the Adam (A.S), who built the Kabah. The Prophet Muhammad was born here and today it is the centre of Hajj and the focal point for Muslims all around the world, who turn towards it five times a day in prayer.","Makkah al-Mukarramah  or Makkah the blessed, is the city whose first inhabitants were the Family of the Prophet Ismail(A.S), who built the Kabah. The Prophet Muhammad was born here and today it is the centre of Hajj and the focal point for Muslims all around the world, who turn towards it five times a day in prayer.","Makkah al-Mukarramah  or Makkah the blessed, is the city whose first inhabitants were the Family of the Prophet Daud (A.S), who built the Kabah. The Prophet Muhammad was born here and today it is the centre of Hajj and the focal point for Muslims all around the world, who turn towards it five times a day in prayer.",Hajj,10
494,What is the Shadharwan?,"The marble base, about five feet high, on which the Kabah stands.","The marble base, about one foot high, on which the Kabah stands.","The glass base, about one foot high, on which the Kabah stands.","The stucco base, about one foot high, on which the Kabah stands.","The marble base, about five feet high, on which the Kabah stands.",Hajj,10
495,What is the significance of Hunayn?,"A valley oasis about 14 miles to the east of Makkah, on the road to Ta'if   from Makkah. During the Prophet Muhammad's time the tribes of Hunayn organized as attack on the Muslims.","A valley oasis about 25 miles to the east of Makkah, on the road to Muzdalifah   from Makkah. During the Prophet Muhammad's time the tribes of Hunayn organized as attack on the Muslims.","A valley oasis about 14 miles to the east of Makkah, on the road to Ta'if   from Makkah. During the Prophet Muhammad's time the tribes of Hunayn organized as attack on the Muslims.","A valley oasis about 18 miles to the north of Makkah, on the road to Mina from Makkah. During the Prophet Muhammad's time the tribes of Hunayn organized as attack on the Muslims.",None of the above,Hajj,10
496,"The Prophet(SAW) said that Islam was based  on five things. Name any two of them. 1. Iman or testimony of faith; 2. Salah , or prayers 3. Sawm, or fasting in Ramadan; 4. Soft spoken in speech 5. Spreading the teslim.",1 and 3 only.,1 and 3 only.,2 and 4 only.,3 and 5 only.,4 and 5 only,Hadith,10
497,What is the meaning of Hadith?,"The saying of the Prophet Muhammad(SAW) be it speech, actions, his approval and disapproval.","The saying of all the Prophets of Allah(it includes his sermon, utterances, discussions, letters, habits, actions, and even his approval or dissaproval of acitons performed before him. These were preserved word by the Companion of the Prophet.(SAW))",Preserved statement of Prophet Musa (AS),"The saying of the Prophet Muhammad(SAW) be it speech, actions, his approval and disapproval.",Miracles of Prophet Isa.,Hadith,10
498,"Name any one of the two short phrases for which the Prophet (SAW) said, ''Two Phrases are light on the tongue yet heavy in the Balance and beloved by the All-Merciful…'' 1. Subhan Allahi wa bi hamdi hi (Glory be to Allah and all praises is His); 2. Subhan Allahi al-Azim(Glory be to Allah the Magnificent). 3. Allahu Akbar (Allah is the greatest), 4. La illaha illa Allahu (There is no deity worthy of worship except Allah).",1 and 2 only.,1 and 4 only.,2 and 3 only.,1 and 3 only.,1 and 2 only.,Hadith,10
499,What is the wording of the hadith in which the Prophet (SAW) cautioned us about too much laughing?,"'If you knew what I know, you would laugh little and weep much''.","'If you knew what I know, you would laugh little and weep much''.","'If you want to enter Jannah, you would laugh little and weep much''.","'If you were a good Muslim, you would laugh little and weep much''.","'If you knew what the angel are sayin about you, you would laugh little and weep much''.",Hadith,10
500,"One of the six books of Hadith known as Sihah as-Sittah, or ''the six Correct Ones'' is __________________  .",Ibn Majah,Al Qurtubi,Ibn Majah,Al Jalalayn,As-Sunnah Al Mishkat,Hadith,10
501,What was the Prophet's reply when someone asked him whose Islam was the best? ,"The Prophet(SAW) replied, ''one who does not harm other human being with his tongue or with his hand.''","The Prophet(SAW) replied, ''one who does harm other human being with his tongue or with his hand.''","The Prophet(SAW) replied, ''one who does offer prayer in masjid al-Haram.''","The Prophet(SAW) replied, ''one who does not harm other human being with his tongue or with his hand.''","The Prophet(SAW) replied, ''one who does offer prayer in masjid al-Aqsa.''",Hadith,10
502,"The Prophet(SAW) mention three kinds of people; whom Allah would neither speak to, look at, or purify. Name any one. 1. One who lets his clothes drag on the ground out of pride 2. One who boast about the favours he has done to others 3. One who sells his goods by swearing falsely.(Muslim)","1, 2, and 3 only.",1 only.,3 only.,2 and 3 only.,"1, 2, and 3 only.",Hadith,10
503,What is the meaning of muhaddith(pl. muhaddthun)?,The scholar who devotes himself to the study of Hadith and Sunnah.,The scholar who devotes himself to the study of Hadith and Sunnah.,The scholars who have strong will to teach the religion.,The scholars who enforce capital punishment.,None of the above.,Hadith,10
504,Which of the following is/are the three signs of iman (faith) told to us by the Prophet Muhammad(SAW). 1. Loss of interest in the transitory world. 2. Longing for the abode of eternity or hereafter(akhira). 3. Preparation for death before it comes.( Based on the hadith of al-Bayhaqi),"1, 2, and 3 only.",1 only.,"1, 2, and 3 only.",1 and 3 only.,2 only.,Hadith,10
505,"What did Prophet(SAW) refer to as""half of iman(faith)''?",cleanliness.,Sacrifice.,Patience.,cleanliness.,Perseverance.,Hadith,10
506,"'Tell this to  others, even if it is only a single verse from me.'' When did the Prophet(SAW) say these words?",At his farewell sermon at Arafat.,After every Friday sermon.,When he was addressing Abu Bakr.,"It is an advice for his daughter, Fatimah.",At his farewell sermon at Arafat.,Hadith,10
507,Which one out of the four virtues the Prophet(SAW) mentioned in a person who has perfected his Iman(faith)? 1. Love for the sake of Allah 2. Hate for the sake of Allah 3. Giving for the sake of Allah. 4. Withholding for the sake of Allah.,"1, 2, 3, and 4.","1, 2, 3, and 4.",1 and 2 only.,2 and 3 only.,1 and 4 only.,Hadith,10
508,The key to Paradise is salah(prayers). What is the key to salah?,The key to salah is cleanliness.,The key to solat is perfecttion,The key to salah is cleanliness.,The key to salah is patience.,The key to salah is sacrifice.,Hadith,10
509,How many ahadith (saying of the Prophet(SAW)) did Abu Hurayrah narrate?,More than 5000,Less than 4000,"More than 1,000,000",More than 5000,"Just 3,500.",Hadith,10
510,"Once the Angel Jibril visited the Prophet(SAW) in human form and asked, ''Tell me about iman''. Name any two out of the six things the Prophet(SAW) told him about belief?",Belief in Allah and The Last Day.,Believe in the messenger and the miracles.,Believe in Angels and Jannah.,Believe in Amulets and The books.,Belief in Allah and The Last Day.,Hadith,10
511,What did the Prophet (SAW) say about oral hygiene?,"'If I had not found it difficult for my followers, I would have ordered them to clean their teeth with miswak before every prayer.''","'If I had not found it difficult for my followers, I would have ordered them to clean their teeth with miswak before every prayer.''","'If I had not found it difficult for my companionss, I would have ordered them to clean their teeth with miswak every morning.''","'If I had not found it difficult for my followers, I would have ordered them to clean their body with miswak and musk before every prayer.''","'If I had not found it difficult for my followers, I would have ordered them to clean their teeth with miswak every morning and night.''",Hadith,10
512,How many ahadith did Aishah Siddiqah narrate?,More than 2000.,Less than 2000.,More than 2000.,"More than 20,000.","More than 200,000.",Hadith,10
513, In human form and said: ''Tell me about ihsan.'' How did the Prophet(SAW) reply?,"It means that you should worship Allah as though you see Him. Even though you do not see Him, He still sees you.",It means that you should worship Allah at all times because He sees you.,It means that you should should be good to your neighbours as that is close to worshiping Allah.,"It means that you should worship Allah as though you see Him. Even though you do not see Him, He still sees you.",It means that you should be good to your visitors as they will intercede on your behalf on the day of judgement .,Hadith,10
514,What did the Prophet (SAW) tell us to do while entering or leaving a house?,"Greet its inhabitants with Assalamu Alaykum, and leave it with the same words.",Knock and open the door then say Salaam Alaykum to its inhabitants.,Open the door then say Salaam Alaykum to its inhabitants.,Peep through any opening on the door to check if someone is inside before you offer teslim or otherwise. ,"Greet its inhabitants with Assalamu Alaykum, and leave it with the same words.",Hadith,10
515,How many ahadith did Abdullah ibn Abbas narrate?,More than 2000.,More than 2000.,Lee than 1000.,More than 500.,Less than 2000.,Hadith,10
516,Name two of the five things the Prophet(SAW) told us that everyone had to answer for before Allah on the Day of Judgement. 1. His life-how he spent it 2.His knowledge- how he acted upon it. 3. His beauty- how he acquired it and how he spent it. 4. His accent- how he used it.,1 and 2 only.,1 only.,1 and 2 only.,1 and 3 only.,2 and 4 only.,Hadith,10
517,"What did the Prophet(SAW) tell us about how to greet others? 1. A rider should greet  a pedestrian, 2. A pedestrian should greet one who is sitting, 3. A small group should greet a large group.","1, 2 and 3 only.",1 and 2 only.,2 and 3 only.,"1, 2 and 3 only.",1 only.,Hadith,10
518,"What is meant by ilm al-hadith, or knowledge of scrutiny of a hadith?","This was a discipline by which each hadith was scrutinized and tested for its authenticity, and then recorded only if it proved to be reliable.",This was a discipline by which the one who memorized much hadith was scrutinized and tested for certification.,This was a discipline by which the narrators of Ahadiths were scrutinized and tested for certification.,This was a discipline by which the narrators and chain of narrations of Ahadiths were scrutinized and tested for reliability.,"This was a discipline by which each hadith was scrutinized and tested for its authenticity, and then recorded only if it proved to be reliable.",Hadith,10
519,"According to a hadith of Abu Dawud, on Judgement Day a bridge will be placed over the pit of Hell. What wiil happen then?",Everyone will be commanded to cross the bridge under which will be hellfire. Only the righteous will be able to cross it. The rest will fall down into hellfire.,Everyone will be commanded to cross the bridge under which will be hellfire. Only the fast will be able to cross it. The rest will fall down into hellfire.,Everyone will be commanded to cross the bridge under which will be hellfire. Only the righteous will be able to cross it. The rest will fall down into hellfire.,Everyone will be commanded to cross the bridge under which will be hellfire. Only those with righteous wife will be able to cross it. The rest will fall down into hellfire.,Everyone will be commanded to cross the bridge under which will be hellfire. Only theose with righteous children will be able to cross it. The rest will fall down into hellfire.,Hadith,10
520,"What did the Prophet(SAW) say about men who imitate women and women who imitate men(in dressing, etc)?",The Prophet(SAW)  cursed such people.,The Prophet(SAW)  cursed such people.,The Prophet(SAW)  praised such people.,The Prophet(SAW)  prayed for such people to change for better.,The Prophet(SAW)  admonished such people.,Hadith,10
521,"In the early days of Islam, which of the following specific term were coined to reflect the relative authenticity of each hadith. 1. Sahih (correct); 2. Hasan(accepted) 3.Dha'eef(weak)","1, 2 and 3 only.",1 and 3 only.,2 and 3 only.,1 and 2 only,"1, 2 and 3 only.",Hadith,10
522,"Referring to the earth, the Prophet(SAW) recited this verse of the Quran: ''On that day it will disclose its news,'' and asked what its news was?",Injustice inflicted upon earth by mankind,The fair treatment the earth received from mankind.,The promise made to earth kept by mankind.,Injustice inflicted upon earth by mankind,None of the above.,Hadith,10
523,"The Prophet(SAW) said, when someone sneezes, he should say ''Al-hamdu lillahi ala kullihal.''( All praise be to Allah I n every circumstance). What should be the response of anyone who hears him?","'Yarhamukumullah'' meaning, may Allah have mercy on you.",Yadikumullah meaning May Allah guide you.,"'Yarhamukumullah'' meaning, may Allah have mercy on you.",Yagfirukumullahu meaning May Allah forgive you. ,Allahu Akbar (Allah is the greatest),Hadith,10
524,"What is meant by Sihah as-Sittah, or the ''Six correct Ones''?",The six books of Hadith which are considered to be most authentic ones.,The six books of Hadith which are considered to be most authentic ones.,The six books of Hadith which are considered to be recorded by Abu Hurairah.,The six books of Hadith which are considered to be narrated by three chain of narrators.,The six books of Hadith which are considered to record most common sayings of the Prophet.,Hadith,10
525,"The Prophet (SAW) mentioned the types of people that would receive Allah's mercy on the Day of Judgement. Who are they? 1. A just ruler; 2.A young person who constantly worshipped Allah; 3. One whose heart was attached to the mosque; 4. Two people who loved each other for Allah's sake, came together for His sake and parted, remembering Him; 5. A man who was invited by a beautiful and charming woman but who declined her offer, saying."" i fear Allah"" 6. One who gave charity so scretly that his left hand did not know what his right hand gave, 7. One who inwardly remembered Allah, his eyes brimming with tears(out of fear of Allah).","1, 2, 3, 4, 5, 6 and 7 only.","1, 3, and 7 only.","2, 5, 6 and 7 only.","1, 2, 3, 4 and 5 only.","1, 2, 3, 4, 5, 6 and 7 only.",Hadith,10
526,What did the Prophet(SAW) say about disobedience to parents?,"Allah forgives any sin He pleases, except disobedience to parents.","Allah forgives any sin He pleases, except disobedience to just leaders.","Allah forgives any sin He pleases, except disobedience to upright Imams.","Allah forgives any sin He pleases, except disobedience to parents.","Allah forgives any sin He pleases, except disobedience to a caring husband.",Hadith,10
527,Name the book of Hadith compiled by Imam Malik.,Muwatta.,Riyadh Salihin,Muwatta.,Sahih Bukhari,Sahih Muslim,Hadith,10
528,"According to the Prophet(SAW), who is a pauper?","According to the Prophet(SAW), a pauper is one, whose final abode will be hell fire despite meeting Allah with a scale of good deeds. ","According to the Prophet(SAW), a pauper is one, whose final abode will be hell fire despite meeting Allah with a scale of good deeds. ","According to the Prophet(SAW), a pauper is one, whose final abode will be hell fire because of his hidden sins. ","According to the Prophet(SAW), a pauper is one, whose final abode will be hell fire because Allah refuses to forgive him. ","According to the Prophet(SAW), a pauper is one, whose final abode will be hell fire because he remain obstinate to follow Allah's command. ",Hadith,10
529,"When a man asked the Prophet (SAW)""Of all people who is most entitled to my kindness and good company''? Th e Prophet(SAW) answered,''Your mother.'' The man twice again  asked''who comes to next?'' The Prophet (SAW) replied on the occasion, ""Your mother.'' But  the third time, when he asked again, ""Who comes next?"" What was the Prophet's answer?",' Your father''.,"""The beggars""","""Your grand mother""","""Your step mother""",' Your father''.,Hadith,10
